ECD,Area,Mean,StdDev,Mode,Min,Max,Perim.,Width,Height,Major,Minor,Circ.,Feret,IntDen,Class
0.23234749126420734,0.0424,0.1491,0.1232,0.02,0.012,0.428,0.8086,0.2539,0.2328,0.2378,0.2271,0.8154,0.2759,0.0063,other
0.8738930592081336,0.5998,0.0675,0.0448,0.044,0.012,0.292,6.0231,1.6399,2.2218,2.4856,0.3072,0.2077,2.6365,0.0405,other
1.053147172725066,0.8711,0.2565,0.209,0.02,0.012,0.696,9.1129,1.8938,1.7563,1.5428,0.7189,0.1318,1.9679,0.2234,Gymnoplea
0.24253590861306398,0.0462,0.188,0.1768,0.016,0.012,0.676,0.8236,0.2539,0.2433,0.2495,0.2359,0.8565,0.2849,0.0087,other
0.41382450237616353,0.1345,0.2222,0.161,0.016,0.012,0.584,1.7394,0.3809,0.6348,0.6418,0.2669,0.5588,0.6958,0.0299,Poecilostomatoida
0.6304802819012802,0.3122,0.1899,0.1896,0.016,0.012,0.656,5.5272,1.0474,1.0686,0.7636,0.5205,0.1284,1.2063,0.0593,Gymnoplea
1.0683909639523694,0.8965,0.2072,0.2398,0.016,0.012,0.896,8.7111,1.587,1.3648,1.2889,0.8856,0.1485,1.8282,0.1858,Gymnoplea
0.4924958205630262,0.1905,0.1795,0.1276,0.016,0.012,0.504,2.1554,0.3809,0.7935,0.7891,0.3074,0.5153,0.8168,0.0342,Poecilostomatoida
0.6495780054198517,0.3314,0.2407,0.2097,0.016,0.016,0.716,4.2097,1.185,0.8781,1.011,0.4174,0.235,1.1897,0.0798,Gymnoplea
0.8839610334194429,0.6137,0.18,0.1773,0.016,0.012,0.704,8.5392,1.4812,2.4017,0.9521,0.8208,0.1058,2.4084,0.1105,Gymnoplea
0.2282005639337207,0.0409,0.1021,0.0998,0.036,0.016,0.464,0.7849,0.2328,0.2328,0.2497,0.2083,0.8335,0.2793,0.0042,other
1.104774831168382,0.9586,0.3815,0.3523,0.02,0.012,1.02,6.992,1.5341,1.7986,1.4293,0.8539,0.2464,1.9009,0.3658,Gymnoplea
0.936214773754231,0.6884,0.2368,0.2295,0.02,0.012,0.812,10.6334,3.1528,1.6082,0.952,0.9207,0.0765,3.1639,0.163,Gymnoplea
0.4842837227702548,0.1842,0.1912,0.1578,0.02,0.012,0.708,2.3653,0.8147,0.6136,0.8613,0.2724,0.4138,0.9743,0.0352,Cyclopoida
0.4954599723740954,0.1928,0.169,0.1418,0.02,0.012,0.472,2.3561,0.8781,0.4867,0.8622,0.2846,0.4363,0.928,0.0326,Cyclopoida
0.6009082582948018,0.2836,0.1892,0.1752,0.016,0.012,0.64,5.4594,1.5553,1.1532,0.6325,0.571,0.1196,1.7318,0.0537,Gymnoplea
