ECD,Area,Mean,StdDev,Mode,Min,Max,Perim.,Width,Height,Major,Minor,Circ.,Feret,IntDen,Class
1.200544528,1.132,0.1452,0.1033,0.136,0.004,0.676,10.7521,1.4918,4.6658,3.7422,0.3852,0.123,4.8327,0.1644,Chaetognatha
0.492107876,0.1902,0.1963,0.1828,0.012,0.004,0.572,3.4009,0.8993,0.9628,0.6858,0.3531,0.2066,1.0225,0.0373,Oncaeidae
1.896415676,2.8246000000000002,0.2115,0.1063,0.248,0.008,0.696,16.2351,2.8778,6.6337,7.631,0.4713,0.1347,7.0806,0.5974,Chaetognatha
0.551060461,0.2385,0.201,0.1568,0.012,0.004,0.548,3.4129,0.7194,1.0792,0.9655,0.3146,0.2574,1.1368,0.048,Oncaeidae
0.493657826,0.1914,0.1805,0.1822,0.008,0.004,0.62,3.7843,1.0051,0.8041,0.6144,0.3967,0.168,1.0071,0.0345,Oncaeidae
3.287148825,8.4865,0.0726,0.0812,0.032,0.004,0.7,25.8122,7.406,6.2422,7.2801,1.4842,0.1601,9.5556,0.616,Chaetognatha
0.713114208,0.3994,0.3332,0.2943,0.008,0.004,0.896,5.528,1.2061,1.259,1.0116,0.5027,0.1642,1.565,0.1331,Oncaeidae
2.081882498,3.4041,0.0661,0.0623,0.024,0.004,0.524,16.2203,4.9409,3.2904,3.8533,1.1248,0.1626,5.5184,0.2252,Chaetognatha
0.591619431,0.2749,0.2166,0.1525,0.02,0.004,0.588,3.1842,0.7829,0.8676,0.8922,0.3923,0.3407,0.97,0.0595,Oncaeidae
0.640498073,0.3222,0.2353,0.1895,0.012,0.004,0.684,4.2191,0.6983,1.1955,0.9904,0.4142,0.2274,1.216,0.0758,Oncaeidae
0.734053796,0.4232,0.2712,0.1772,0.024,0.004,0.556,4.809,1.185,1.058,1.1621,0.4637,0.23,1.2828,0.1148,Calanoida
0.633502253,0.3152,0.164,0.1507,0.008,0.004,0.508,5.6724,1.2061,0.8887,0.7227,0.5553,0.1231,1.2754,0.0517,Calanoida
0.556463707,0.2432,0.2239,0.1734,0.012,0.004,0.744,3.3256,1.1003,0.7406,0.9642,0.3212,0.2764,1.1423,0.0545,Oncaeidae
0.533211394,0.2233,0.2104,0.1575,0.032,0.008,0.52,3.2339,0.9734,0.5713,0.8493,0.3348,0.2683,0.9754,0.047,Oncaeidae
0.745926056,0.437,0.2817,0.1753,0.036,0.004,0.628,4.6739,1.1532,0.8676,1.2917,0.4308,0.2514,1.3972,0.1231,Calanoida
3.190061815,7.9926,0.0645,0.0841,0.032,0.004,0.684,25.8846,3.6289,9.9135,9.0596,1.1233,0.1499,10.4622,0.5154,Chaetognatha
2.227427335,3.8967,0.0809,0.0682,0.056,0.008,0.492,15.8808,4.634,4.1262,5.2959,0.9369,0.1942,5.9916,0.3151,Chaetognatha
2.105961848,3.4833,0.2296,0.111,0.252,0.004,0.9,17.736,1.5447,7.6388,7.4472,0.5955,0.1392,7.7384,0.7996,Chaetognatha
0.520401817,0.2127,0.1579,0.1573,0.012,0.004,0.6,4.3803,0.7723,1.0051,0.5585,0.4849,0.1393,1.0193,0.0336,Calanoida
1.289762562,1.3065,0.2083,0.1724,0.012,0.004,0.664,12.4403,1.9573,2.116,1.9636,0.8472,0.1061,2.2346,0.2722,Calanoida
0.783634757,0.4823,0.245,0.1877,0.012,0.004,0.604,5.8305,1.4495,0.9945,1.1914,0.5154,0.1783,1.4697,0.1182,Calanoida
0.639801933,0.3215,0.1713,0.1236,0.016,0.004,0.436,4.0776,1.2484,0.6242,1.0859,0.3769,0.243,1.2513,0.0551,Calanoida
0.603128956,0.2857,0.2911,0.2241,0.012,0.008,0.892,3.5039,1.1215,0.5396,1.0187,0.357,0.2924,1.1476,0.0832,Oncaeidae
0.506515319,0.2015,0.1958,0.1866,0.012,0.004,0.6,3.6657,0.8252,1.0157,0.7126,0.36,0.1884,1.0377,0.0395,Oncaeidae
1.473215574,1.7046,0.2413,0.1153,0.348,0.004,0.612,11.844,5.0678,0.8676,5.3599,0.4049,0.1527,5.0905,0.4113,Chaetognatha
0.701957053,0.387,0.2205,0.1445,0.024,0.004,0.54,4.218,1.1215,0.6983,1.0246,0.4809,0.2733,1.1499,0.0853,Calanoida
0.809135201,0.5142,0.2237,0.1469,0.024,0.004,0.576,5.7747,1.5235,0.931,1.2987,0.5042,0.1938,1.5237,0.115,Calanoida
